beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,dbl_t1_i_q [mm],nbl_t1_i_q,dbl_t2_i_q [mm],nbl_t2_i_q,dbl_b1_i_q [mm],nbl_b1_i_q,dbl_b2_i_q [mm],nbl_b2_i_q,dbh_i_q [mm],sbh_i_q [mm],nbh_b_i_q,nbh_h_i_q,dbl_t1_mid_q [mm],nbl_t1_mid_q,dbl_t2_mid_q [mm],nbl_t2_mid_q,dbl_b1_mid_q [mm],nbl_b1_mid_q,dbl_b2_mid_q [mm],nbl_b2_mid_q,dbh_mid_q [mm],sbh_mid_q [mm],nbh_b_mid_q,nbh_h_mid_q,dbl_t1_j_q [mm],nbl_t1_j_q,dbl_t2_j_q [mm],nbl_t2_j_q,dbl_b1_j_q [mm],nbl_b1_j_q,dbl_b2_j_q [mm],nbl_b2_j_q,dbh_j_q [mm],sbh_j_q [mm],nbh_b_j_q,nbh_h_j_q,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],cover_q [mm],bondslip_factor_q
1001,1,101,250,300,4150,8.875,0,8.875,0,16.6667,434.783,30,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,0,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,0,6,75.3235,2,2,12,2,12,0,12,2,12,0,6,78.6733,2,2,12,2,12,2,12,2,12,0,6,77.3446,2,2,26.7179,600.217,608.691,29.7804,1
1101,101,201,250,300,4150,8.875,0,8.875,0,16.6667,434.783,30,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,0,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,1,6,75,2,2,12,2,12,2,12,2,12,0,6,77.0458,2,2,12,2,12,0,12,2,12,0,6,77.4882,2,2,12,2,12,2,12,2,12,1,6,75.7913,2,2,33.8603,601.661,610.028,28.3942,1
1201,201,301,250,300,2950,1.875,0,1.875,0,16.6667,434.783,30,12,2,12,2,12,2,12,1,6,75,2,2,12,2,12,0,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,1,6,75,2,2,12,2,12,2,12,2,12,1,6,78.4517,2,2,12,2,12,0,12,2,12,0,6,75.8463,2,2,12,2,12,2,12,2,12,1,6,76.4188,2,2,31.5577,605.83,593.938,26.4711,1
1301,301,401,250,300,4150,8.875,0,8.875,0,16.6667,434.783,30,12,2,12,2,12,2,12,1,6,75,2,2,12,2,12,0,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,1,6,78.2038,2,2,12,2,12,0,12,2,12,0,6,75.6351,2,2,12,2,12,2,12,2,12,0,6,76.5047,2,2,32.4487,597.263,591.017,33.3563,1
1401,401,501,250,300,4150,8.875,0,8.875,0,16.6667,434.783,30,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,0,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,0,6,75,2,2,12,2,12,2,12,2,12,0,6,76.8422,2,2,12,2,12,0,12,2,12,0,6,76.216,2,2,12,2,12,2,12,2,12,0,6,77.3417,2,2,31.782,613.872,597.155,27.5804,1
1011,11,111,300,300,4150,2.25,0,2.25,0,16.6667,434.783,30,16,2,16,1,12,2,12,2,6,75,2,2,16,2,16,0,12,2,12,0,6,75,2,2,16,2,16,0,12,2,12,1,6,75,2,2,16,2,16,1,12,2,12,2,6,76.2907,2,2,16,2,16,0,12,2,12,0,6,77.8638,2,2,16,2,16,0,12,2,12,1,6,78.5822,2,2,31.2524,615.635,601.298,29.7696,1
1111,111,211,300,300,4150,2.25,0,2.25,0,16.6667,434.783,30,16,2,16,0,12,2,12,1,6,75,2,2,16,2,16,0,12,2,12,0,6,75,2,2,16,2,16,1,12,2,12,1,6,75,2,2,16,2,16,0,12,2,12,1,6,75.0083,2,2,16,2,16,0,12,2,12,0,6,76.726,2,2,16,2,16,1,12,2,12,1,6,78.7071,2,2,32.8913,605.661,600.363,30.872,1
1211,211,311,300,300,2950,17.3437,7.875,17.3437,7.875,16.6667,434.783,30,16,2,16,1,12,2,12,1,6,75,2,2,16,2,16,0,12,2,12,0,6,75,2,2,16,2,16,1,12,2,12,1,6,75,2,2,16,2,16,1,12,2,12,1,6,77.4173,2,2,16,2,16,0,12,2,12,0,6,77.1297,2,2,16,2,16,1,12,2,12,1,6,76.121,2,2,39.3673,603.054,599.021,28.2134,1
1311,311,411,300,300,4150,2.25,0,2.25,0,16.6667,434.783,30,16,2,16,1,12,2,12,1,6,75,2,2,16,2,16,0,12,2,12,0,6,75,2,2,16,2,16,0,12,2,12,1,6,75,2,2,16,2,16,1,12,2,12,1,6,76.2076,2,2,16,2,16,0,12,2,12,0,6,77.232,2,2,16,2,16,0,12,2,12,1,6,75.9919,2,2,28.7663,603.755,608.2,29.8474,1
1411,411,511,300,300,4150,2.25,0,2.25,0,16.6667,434.783,30,16,2,16,0,12,2,12,1,6,75,2,2,16,2,16,0,12,2,12,0,6,75,2,2,16,2,16,1,12,2,12,2,6,75,2,2,16,2,16,0,12,2,12,1,6,76.4663,2,2,16,2,16,0,12,2,12,0,6,75.6546,2,2,16,2,16,1,12,2,12,2,6,77.701,2,2,30.9301,606.95,601.059,30.2302,1
