column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,dbl_cor_q [mm],dbl_int_q [mm],nblx_int_q,nbly_int_q,dbh_q [mm],sbh_q [mm],nbh_x_q,nbh_y_q,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],cover_q [mm],bondslip_factor_q
3000,0,1,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,104.707,3,3,26.7346,596.571,594.116,31.6114,1
3100,100,101,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,102.297,3,3,32.8804,594.989,603.055,31.1604,1
3400,400,401,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,101.84,3,3,31.948,598.3,593.547,26.695,1
3500,500,501,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,102.867,3,3,31.8265,608.739,596.273,23.2751,1
3010,10,11,350,350,3700,3.0625,0,16.6667,434.783,30,20,20,2,0,8,125,4,4,20,20,2,0,8,130.691,4,4,31.0779,601.063,605.14,32.0486,1
3110,110,111,350,350,3700,3.0625,0,16.6667,434.783,30,25,20,0,0,8,125,4,4,25,20,0,0,8,131.126,4,4,29.9007,608.358,596.872,26.1199,1
3210,210,211,350,350,3700,3.0625,0,16.6667,434.783,30,20,20,0,0,8,125,4,4,20,20,0,0,8,129.348,4,4,33.4734,603.194,601.476,27.9786,1
3310,310,311,350,350,3700,3.0625,0,16.6667,434.783,30,20,20,0,0,8,125,4,4,20,20,0,0,8,127.302,4,4,30.8105,600.018,601.102,37.7516,1
3410,410,411,350,350,3700,3.0625,0,16.6667,434.783,30,25,20,0,0,8,125,4,4,25,20,0,0,8,130.397,4,4,30.5129,600.092,596.252,36.0119,1
3510,510,511,350,350,3700,3.0625,0,16.6667,434.783,30,20,20,2,0,8,125,4,4,20,20,2,0,8,130.777,4,4,33.4898,595.361,595.943,34.5567,1
3020,20,21,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,102.715,3,3,32.7108,584.602,596.683,30.6374,1
3120,120,121,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,103.558,3,3,29.0755,598.757,606.97,29.672,1
3220,220,221,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,104.357,3,3,32.5833,600.958,587.648,29.7177,1
3320,320,321,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,103.422,3,3,29.6819,606.988,592.068,28.7857,1
3420,420,421,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,103.252,3,3,35.1431,602.772,597.55,36.0722,1
3520,520,521,300,300,3700,2.25,0,16.6667,434.783,30,20,16,0,0,8,100,3,3,20,16,0,0,8,101.904,3,3,36.0807,606.055,595.391,32.8257,1
3001,1,2,300,300,3100,2.25,0,16.6667,434.783,30,20,16,1,0,8,100,3,3,20,16,1,0,8,103.002,3,3,32.4256,608.75,600.95,38.1585,1
3101,101,102,300,300,3100,2.25,0,16.6667,434.783,30,20,16,1,0,8,100,3,3,20,16,1,0,8,101.216,3,3,35.966,609.459,600.595,28.4746,1
3401,401,402,300,300,3100,2.25,0,16.6667,434.783,30,20,16,1,0,8,100,3,3,20,16,1,0,8,100.599,3,3,28.2092,605.426,599.93,30.6107,1
